"date","food","income","housing","childcare","gas","apparel","insurance_home","insurance_car","car_new","car_used","cpi"
"1992-12-01",0.413391869860544,0.411347517730496,0.345978868746886,0.248400460194537,0.353783867953908,1.02028272894899,0.334601165286768,0.402395105436736,0.73760729854838,0.69030977651221,0.445961276897137
"1993-01-01",0.416670392260303,0.4225768321513,0.346677345601691,0.249650988827095,0.347866708190595,1.02028272894899,0.335776854553412,0.403809002504328,0.740416161071413,0.687073949434809,0.447528252571407
"1993-02-01",0.41696843975119,0.4225768321513,0.347142996838228,0.24999204209052,0.345063843039552,1.02950215119852,0.336482268113398,0.404657340744884,0.741539706080626,0.679523686254207,0.448468437975969
"1993-03-01",0.417564534732964,0.4225768321513,0.347142996838228,0.250105726511662,0.341949548427281,1.02950215119852,0.336952543820055,0.405222899571921,0.741539706080626,0.682759513331608,0.449095228245677
"1993-04-01",0.4190547721874,0.4225768321513,0.348539950547839,0.250446779775087,0.34630956088446,1.02950215119852,0.338128233086699,0.406636796639513,0.742663251089839,0.694084908102511,0.450662203919946
"1993-05-01",0.420545009641836,0.4225768321513,0.349005601784376,0.25067414861737,0.351603861725319,1.02566072526122,0.339068784500014,0.407767914293586,0.743786796099052,0.709185434463716,0.451915784459362
"1993-06-01",0.418458677205626,0.4225768321513,0.349936904257449,0.25135625514422,0.351915291186546,1.02181929932391,0.339303922353342,0.408050693707105,0.742663251089839,0.72428596082492,0.452229179594216
"1993-07-01",0.418160629714739,0.4225768321513,0.350169729875718,0.252493099355637,0.345375272500779,1.02028272894899,0.33977419806,0.408616252534142,0.742663251089839,0.733993442057123,0.452855969863924
"1993-08-01",0.419650867169175,0.4225768321513,0.351101032348791,0.256585738516737,0.341638118966054,1.02950215119852,0.340479611619986,0.409464590774697,0.742663251089839,0.741543705237725,0.453796155268486
"1993-09-01",0.420545009641836,0.4225768321513,0.351566683585328,0.264771016838936,0.33790096543133,1.02719729563614,0.340949887326643,0.410030149601734,0.742101478585232,0.748015359392527,0.454422945538193
"1993-10-01",0.422035247096272,0.4225768321513,0.352497986058402,0.265566807786928,0.350981002802865,1.0279655808236,0.342360714446616,0.411726826082845,0.749404521145117,0.753947709034429,0.456303316347317
"1993-11-01",0.422929389568934,0.4225768321513,0.352963637294939,0.265907861050353,0.346620990345687,1.03257529194837,0.343301265859931,0.412857943736918,0.757269336209609,0.758801449650531,0.457556896886733
"1993-12-01",0.425313769496031,0.4225768321513,0.353662114149744,0.266021545471495,0.333229523512924,1.03027043638599,0.344006679419917,0.413706281977474,0.761763516246461,0.751251186469928,0.458497082291295
"1994-01-01",0.428294244404903,0.433215130023641,0.354360591004549,0.266703651998345,0.324820928059794,1.02412415488629,0.344006679419917,0.413706281977474,0.764572378769493,0.737768573647424,0.458497082291295
"1994-02-01",0.425909864477806,0.433215130023641,0.35575754471416,0.266931020840628,0.327312363749611,1.02335586969883,0.344947230833232,0.414837399631547,0.76681946878792,0.72320735179912,0.45975066283071
